send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452466610120116,12452466701367984,0.0201494,0.0200618,0.0504315,0.050068,0.020667,0.0912479,13,30,326.462,1,2
12452466613196239,12452466701377071,0.0201484,0.0200678,0.054409,0.0500717,0.0136234,0.0881808,13,30,326.462,1,2
12452466625278498,12452466738606424,0.0201654,0.020062,0.0766205,0.050125,0.016542,0.113328,13,30,277.899,1,2
12452466637436668,12452466738623335,0.0201683,0.020066,0.0644909,0.0500665,0.0165275,0.101187,13,30,277.899,1,2
12452466630356054,12452466738632202,0.0201626,0.0200657,0.07158,0.050071,0.0165336,0.108276,13,30,277.899,1,2
12452466638521497,12452466738641069,0.0201697,0.0200616,0.0634141,0.0500636,0.0165358,0.10012,13,30,277.899,1,2
12452466639599433,12452466738651378,0.0201503,0.0200607,0.062383,0.0500678,0.0165187,0.0990519,13,30,277.899,1,2
12452466671675418,12452466767671918,0.0201691,0.0200641,0.0594156,0.0500676,0.0164118,0.0959965,13,30,238.17,1,4
12452466677759327,12452466767690292,0.0201867,0.0200634,0.0533766,0.0500695,0.0163677,0.089931,13,30,238.17,1,4
12452466687840933,12452466767706262,0.0201751,0.0200733,0.0523863,0.050068,0.0073039,0.0798653,13,30,238.17,1,4
12452466700920156,12452466794193534,0.0201814,0.0200682,0.0674313,0.05007,0.00566069,0.0932734,12,28,301.424,1,4
12452466709997224,12452466794219442,0.0201983,0.0200679,0.0583775,0.0500708,0.00564642,0.0842222,12,28,301.424,1,4
12452466738166842,12452466839529780,0.0201777,0.0200641,0.0593016,0.0500641,0.0218836,0.101363,12,28,319.4,1,4
12452466753249793,12452466839545339,0.0201821,0.0200621,0.0513719,0.0500672,0.0147416,0.0862955,12,28,319.4,1,4
12452466767328185,12452466844644557,0.0201701,0.0200702,0.0566745,0.0500693,0.000471763,0.0773164,12,28,334.602,1,4
12452466769406713,12452466844663903,0.0201926,0.0200745,0.054624,0.0500609,0.000440584,0.0752572,12,28,334.602,1,4
12452466774482757,12452466873945991,0.020176,0.020068,0.0725811,0.0500681,0.0067062,0.0994632,12,28,339.953,1,4
12452466775558419,12452466873963233,0.0201696,0.0200733,0.0715157,0.0500617,0.00671954,0.0984048,12,28,339.953,1,4
12452466777633460,12452466873972600,0.0201533,0.0200676,0.0694797,0.0500675,0.00670612,0.0963391,12,28,339.953,1,4
12452466782710887,12452466873981467,0.0201632,0.0200724,0.064411,0.0500658,0.00669634,0.0912706,12,28,339.953,1,4
12452466793804286,12452466873990644,0.0201816,0.0200652,0.0533188,0.0500658,0.0066859,0.0801864,12,28,339.953,1,4
12452466816886087,12452466895340948,0.0202513,0.0200663,0.0523654,0.0500675,0.00583817,0.0784549,12,28,316.956,1,4
12452466818966068,12452466895360675,0.0201967,0.0200654,0.0504037,0.0500701,0.00579425,0.0763946,12,28,316.956,1,4
12452466820047400,12452466895369211,0.020165,0.0200651,0.0513695,0.0500756,0.00378726,0.0753218,12,28,316.956,1,4
12452466824124997,12452466895377647,0.0201578,0.0200619,0.0503654,0.0500661,0.000729474,0.0712527,12,28,316.956,1,4
12452466839202327,12452466910673226,0.0201658,0.0200719,0.0504662,0.0500654,0.000838839,0.0714709,12,28,367.517,1,4
12452466841282138,12452466925997067,0.0201606,0.0200684,0.062472,0.0500692,0.00208232,0.0847149,12,28,344.716,1,4
12452466844359293,12452466926090482,0.0201757,0.0200702,0.0594508,0.0500676,0.0021047,0.0817312,12,28,344.716,1,4
